en,fr
what is it?,qu'est ce c'est ?
we are arabs.,nous sommes arabes.
you're lazy.,vous êtes paresseuse.
is it time?,est-il l'heure ?
it's dead.,c'est mort.
he runs.,il court.
follow us.,suivez-nous !
be content.,sois satisfait !
go home now.,"allez à la maison, maintenant."
are you tired?,êtes-vous lasses ?
i must go.,il me faut partir.
i'm a genius.,je suis un génie.
don't fret.,te tracasse pas.
i didn't win.,je n'ai pas gagné.
don't fret.,ne te tracasse pas.
i'm fast.,je suis rapide.
i hate sand.,je déteste le sable.
try to rest.,essayez de vous reposer.
i trust you.,je me fie à toi.
read this.,lis ceci.
they got it.,ils l'ont eu.
you look fat.,vous avez l'air gros.
i'm sad.,je suis triste.
is this fake?,est-ce une imitation ?
"check, please.","vérifie, s'il te plaît."
i will go.,j'irai.
hold on.,ne quittez pas.
i had to go.,je devais y aller.
this is new.,c'est neuf.
is it an elk?,est-ce un élan ?
i'm joking.,je rigole !
they refused.,elles ont refusé.
take mine.,prends la mienne.
i'm not here.,je ne suis pas ici.
i want a lot.,j'en veux beaucoup.
i'm divorced.,je suis divorcé.
you go first.,je t'en prie.
tom will cry.,tom va pleurer.
what a pain!,quelle plaie.
i made these.,j'ai confectionné ceux-ci.
grab this.,attrape ça !
can i help?,puis-je aider ?
do your best.,faites de votre mieux.
that's mine.,c'est la mienne.
it was ok.,c'était correct.
you're naive.,tu es naïf.
who did this?,qui a fait ça ?
i'll help.,j'aiderai.
are you angry?,tu es fâché ?
be prepared.,tenez-vous prêtes !
ask them.,demande-leur.
who is tom?,"c’est qui, tom ?"
i don't bite.,je ne mords pas.
tom is quiet.,tom est silencieux.
i'm sorry.,excusez-moi.
i want more.,j'en veux davantage.
be sensible.,sois raisonnable !
do you follow?,est-ce que tu suis ?
i'm naked.,je suis nu.
it's a fact.,c'est un fait.
check this.,regarde ça.
have a drink.,prends un verre !
you are good.,tu es bonne.
tom looked.,tom a regardé.
i'm unhappy.,je suis mécontente.
be friendly.,soyez amical !
we're done.,nous en avons terminé.
try it again.,essaye de nouveau.
let me go.,laissez-moi partir !
are they busy?,sont-elles occupées ?
drive on.,avance !
who's that?,c’est qui ?
i'll change.,je changerai.
oh no!,oh non !
who sent you?,qui t'a envoyée ?
i'm all set.,je suis tout à fait prêt.
how romantic!,comme c'est romantique !
drop the gun.,lâche l'arme !
i got upset.,je me suis fâchée.
cool off!,détends-toi !
use this.,utilisez ceci.
i got fined.,on m'a mis une contredanse.
that hurts.,ça fait mal.
i like jazz.,j'apprécie le jazz.
i will work.,je vais travailler.
i'm outraged.,je suis indigné.
hop in.,monte.
marry me.,épousez-moi !
i'm involved.,je suis impliqué.
i'm weak.,je suis faible.
i love games.,j'adore les jeux.
come back.,reviens !
go outside.,sortez.
write to tom.,écrivez à tom.
don't cheat.,ne trichez pas.
i envy you.,je t'envie.
i'm blessed.,je suis bénie.
go home now.,"va chez toi, maintenant."
now drink up.,"finis ton verre, maintenant !"
i didn't go.,je n'y suis pas allé.
let's split.,séparons-nous !
are they new?,sont-ils nouveaux ?
i'm curious.,je suis curieux.
stay calm.,reste calme.
i'm too busy.,je suis trop affairée.
are you lost?,es-tu perdue ?
warn tom.,préviens tom.
you're naive.,tu es naïve.
he loves her.,il l'aime.
run for it!,prenez vos jambes à vos cous !
i'm prepared.,je suis préparé.
i was good.,j'ai été bon.
where is tom?,où est tom ?
i must go.,il me faut m'en aller.
we'll obey.,nous obéirons.
do you smoke?,tu fumes ?
we must talk.,il faut que nous discutions.
i'm sneaky.,je suis sournoise.
forgive me.,pardonnez-moi.
just do it.,"fais-le, tout simplement !"
what's that?,qu'est-ce là ?
he tries.,il essaye.
we survived.,nous avons survécu.
he got caught.,il se fit prendre.
go have fun.,amuse-toi bien.
he dozed off.,il s'est endormi.
send him in.,envoie-le !
no way!,hors de question !
i heard that.,j'ai entendu ça.
look here.,regardez ici.
i am sick.,je suis malade.
i'm all done.,j'ai tout terminé.
go outside.,allez à l'extérieur.
i smoke.,je fume.
"check, please.","j'aimerais la note, je vous prie."
lead the way.,montrez le chemin.
i'm grateful.,je suis reconnaissante.
he is eating.,il est en train de manger.
i'm innocent.,je suis innocent.
don't kid me!,ne me fais pas marcher !
i'm not sure.,je n'en suis pas certaine.
i like blue.,j'aime le bleu.
i'm speaking.,je suis en train de parler.
i was drunk.,j'étais ivre.
i'll pack.,je ferai mon sac.
you're dirty.,vous êtes sales.
we apologize.,nous présentons nos excuses.
i was sick.,j'étais malade.
did tom stay?,tom est-il resté ?
i prepaid.,j'ai payé d'avance.
who sent you?,qui vous a envoyée ?
i'm rested.,je suis reposée.
he's broke.,il est fauché.
don't forget.,ne l'oubliez pas !
nobody knows.,personne ne sait.
be attentive.,sois attentive.
they'll grow.,elles grandiront.
i'd agree.,je serais d'accord.
it's dead.,elle est morte.
he let us go.,il nous a laissées partir.
he loves us.,il nous aime.
tom cried.,tom pleura.
are we broke?,sommes-nous fauchés ?
i'm restless.,je ne tiens pas en place.
how deep?,quelle profondeur ?
i have wine.,j'ai du vin.
i exercised.,je me suis entraînée.
is he tall?,est-il grand ?
tom's glad.,tom est joyeux.
come help me.,viens m'aider.
be careful!,fais attention !
look again.,regardez à nouveau.
what a night!,quelle soirée !
do you smoke?,fumez-vous ?
say please.,dis : « s'il te plaît ».
i beg you.,je vous en conjure.
did you win?,l'as-tu emporté ?
try it on.,essaie-le !
are you deaf?,es-tu sourde ?
i'm starved.,j'ai l'estomac dans les talons.
i'm lazy.,je suis fainéant.
stop trying.,arrête d'essayer.
i apologized.,j'ai présenté mes excuses.
is he dead?,il est mort ?
i saved you.,je t'ai sauvé.
come here.,viens ici.
you're big.,tu es grand.
you must go.,tu dois partir.
are they new?,sont-elles neuves ?
are you home?,es-tu chez nous ?
i'm certain.,je suis sûr.
let him go!,laissez-le s'en aller!
how weird!,comme c'est bizarre !
we'll help.,nous apporterons de l'aide.
tom knits.,tom tricote.
i ran home.,j'ai couru à la maison.
go ahead.,passe devant !
i was new.,j'étais nouveau.
check it out!,vérifie !
we got ready.,nous nous sommes apprêtés.
stop whining.,arrête de râler.
hand it to me.,passe-le-moi.
i'll do it.,je vais le faire.
it's 50 yen.,c'est 50 yen.
turn it up.,augmentez-le.
you're a pig.,tu es un égoïste.
let's start.,commençons.
that's crazy.,c'est dingue.
you're bad.,tu es vilain.
i'm confused.,je me mélange les pinceaux.
shut up!,taisez-vous !
they're here.,ils sont là.
are you hurt?,vous êtes-vous blessée ?
let me out!,laissez-moi sortir !
i failed.,j'ai échoué.
we can't go.,nous ne pouvons y aller.
be on time.,soyez à l'heure.
is it a joke?,est-ce une blague ?
he is young.,il est jeune.
why not both?,pourquoi pas les deux ?
tom's scared.,tom est apeuré.
are you crazy?,es-tu folle ?
i'm homesick.,j'ai le mal du pays.
i lost.,j'ai perdu.
get my rifle.,attrapez mon fusil !
can i stay?,puis-je rester ?
we can pay.,nous pouvons payer.
we're twins.,nous sommes jumelles.
i can come.,je peux venir.
step aside.,écarte-toi !
be prepared.,tiens-toi prêt !
that's a lie.,il s'agit d'un mensonge.
here we are!,nous voilà !
step aside.,écartez-vous !
tom's hungry.,tom a faim.
she shrieked.,elle cria.
it isn't new.,ce n'est pas nouveau.
do you drink?,bois-tu ?
tom insisted.,tom a insisté
things break.,les choses se cassent.
i'm fussy.,je suis difficile.
it's mine.,c'est à moi.
you may go.,tu peux t'en aller.
i did that.,j'ai fait cela.
ignore them.,ignore-les.
i love life.,j'adore la vie.
it's nothing.,ce n'est rien.
they hate us.,ils nous détestent.
be confident.,soyez confiante !
i'm well.,je me porte bien.
no way!,c'est pas possible !
who was here?,qui était ici ?
i'll swim.,je nagerai.
it helps.,ça aide.
he let me go.,il m'a laissée m'en aller.
come to us.,venez à nous.
we are happy.,nous sommes heureux.
it's all wet.,tout est mouillé.
is tom ill?,tom est-il malade ?
get ready.,préparez-vous.
i was naive.,j'étais crédule.
who vanished?,qui a disparu ?
tom knew.,tom savait.
i liked it.,je l'ai apprécié.
take a walk.,allez marcher !
look at it.,regarde-le !
this is nice.,c'est chouette.
give me a few.,donne-m'en quelques-uns.
i hope not.,je n'espère pas.
that's his.,c'est le sien.
he's married.,il est marié.
i'm ugly.,je suis laid.
stop that.,arrête ça !
it happened.,c'est arrivé.
it may rain.,il pourrait pleuvoir.
deal me out.,ne compte pas sur moi.
i have to go.,je dois y aller.
i'm unarmed.,je suis désarmé.
it's quiet.,c'est silencieux.
you look fat.,tu as l'air grosse.
that a boy!,t'es un bon garçon !
come off it!,décroche de ça !
i'm so tired!,je suis tellement las !
tom lies.,tom ment.
i want one!,j'en veux un !
stop yelling!,cesse de hurler !
can you pitch?,sais-tu donner le ton ?
she sued him.,elle lui fit un procès.
tom lost.,tom a perdu.
what a pity!,quel malheur !
you're dirty.,vous êtes sale.
i go to work.,je vais au travail.
birds fly.,les oiseaux volent.
i doubt that.,j'en doute.
look at that!,regardez cela !
i could walk.,je pourrais marcher.
i know this.,je le sais.
we can win.,nous pouvons gagner.
are you upset?,es-tu énervé ?
let me sleep.,laissez-moi dormir.
i left.,je suis partie.
is that you?,est-ce vous ?
may i cut in?,puis-je vous interrompre ?
i'm the best.,je suis le meilleur.
you're nice.,vous êtes sympa.
what's up?,ça va ?
whose is it?,à qui est-ce ?
shut up!,la ferme !
he is drunk.,il est ivre.
am i first?,suis-je la première ?
it's yours.,c'est le tien.
you decide.,"vous, décidez."
this is life!,c'est la vie !
let him go.,laisse-le partir !
get out!,sortez !
i took a nap.,je fis une sieste.
are we alone?,sommes-nous seuls ?
it was black.,c'était noir.
don't talk.,ne parle pas !
is it safe?,est-ce sans danger ?
i love bread.,j'adore le pain.
step back.,recule !
step back.,reculez !
we need more.,nous avons besoin de plus.
i'm so fat.,je suis tellement gros.
don't laugh.,ne ris pas.
it is my cat.,c'est mon chat.
be seated.,asseyez-vous !
you lost.,vous avez perdu.
i like tom.,j'aime tom.
terrific!,formidable !
god bless you!,dieu vous bénisse !
ignore them.,ignorez-les.
back off!,recule !
you're old.,tu es vieux.
try it again.,essaie encore.
this is fine.,c'est parfait.
i must go.,je dois partir.
you are good.,vous êtes bonnes.
tom's awake.,tom est réveillé.
that's icky.,c'est gnangnan.
i must hurry.,je dois me dépêcher.
of course!,pardi !
we're stuck.,nous sommes coincées.
he's a bigot.,c'est un fanatique.
are you hurt?,vous êtes-vous blessé ?
i need that.,c'est ce qu'il me faut.
i hit tom.,j'ai frappé tom.
i felt safer.,je me sentais davantage en sécurité.
be on time.,sois à l'heure.
i still care.,je m'en soucie encore.
all is well.,tout va bien.
come over.,venez ici !
i can't see.,je n'arrive pas à voir.
i'm drunk.,je suis soûl.
i'm cultured.,je suis cultivée.
stay with us.,restez avec nous.
i've no idea.,je n'ai aucune idée.
we lost.,nous avons perdu.
i'm rested.,je suis reposé.
forget it!,oublie-le !
i'm too fat.,je suis trop gros.
it's monday.,nous sommes lundi.
i'm kidding.,je rigole !
i see a book.,je vois un livre.
i suppose so.,je le suppose.
i love music.,j'aime beaucoup la musique.
pick a date.,choisis une date !
i'm touched.,je suis touchée.
you're rude.,vous êtes grossières.
it's broken.,c'est cassé.
i'm not rich.,je ne suis pas riche.
can i go now?,puis-je partir maintenant ?
i feel faint.,je me sens mal.
run for it!,taillez-vous !
tom is rude.,tom est impoli.
she went out.,elle sortit.
i'm safe.,je suis en sécurité.
she cried.,elle pleura.
she tried.,elle a essayé.
it's bogus.,c'est du pipeau tout ça.
don't ask me.,ce n'est pas à moi qu'il faut le demander.
i didn't win.,je ne l'ai pas emporté.
i was fired.,j'ai été licencié.
they're dead.,elles sont décédées.
we trust him.,nous avons confiance en lui.
it will heal.,cela guérira.
do i look fat?,ai-je l'air gros ?
follow him.,suis-le !
get your gear.,allez chercher votre tenue !
it's awesome.,c'est génial.
do you get it?,est-ce que tu captes ?
they agree.,elles sont d'accord.
i fixed it.,je le réparai.
we're weak.,nous sommes faibles.
it was noisy.,c'était bruyant.
can we stop?,pouvons-nous arrêter ?
what a shame!,dommage !
don't be mean.,ne sois pas mesquine !
nice timing.,tout juste !
you're back.,vous êtes de retour.
is tom hurt?,tom est-il blessé ?
that worked.,ça a marché.
i need ice.,j'ai besoin de glace.
it's perfect.,c'est parfait.
look at that!,regardez ça !
"me, too.",moi aussi.
tell me.,dis-moi !
listen.,écoutez !
i got fined.,on m'a collé une amende.
watch me.,regardez-moi !
we're ruined.,nous sommes ruinés.
tom stayed.,tom est resté.
tom said no.,tom a dit non.
save tom.,sauvez tom.
you're funny.,vous êtes marrantes.
send him in.,envoyez-le !
are you happy?,êtes-vous heureuses ?
we did that.,nous avons fait cela.
tom stole it.,tom l'a volé.
i'm in luck.,je suis veinarde.
it amazed me.,ça m'a épaté.
it's for you.,c'est pour toi.
we knew that.,nous savions cela.
i'm bald.,je suis chauve.
i'm blessed.,je suis béni.
you're early.,tu es matinale.
tom is weak.,tom est faible.
i got busy.,je suis devenu occupé.
i'm sick.,je suis malade.
i have a gun.,j'ai une arme à feu.
don't deny it.,ne le nie pas !
tom forgot.,tom oublia.
we are men.,nous sommes des hommes.
they're free.,elles sont libres.
who escaped?,qui s'est échappé ?
that is mine.,c'est la mienne.
i'll try.,je vais essayer.
tom's funny.,tom est drôle.
he's asleep.,il est endormi.
he denied it.,il l'a nié.
stay in bed.,reste alitée !
i'm starved.,je meurs de faim !
i'm a friend.,je suis un ami.
it's late.,il est tard.
my hip hurts.,ma hanche me fait mal.
wait here.,attendez là.
do you get it?,tu captes ?
is this love?,serait-ce de l'amour ?
i need some.,j'en ai besoin.
we all cried.,nous avons tous pleuré.
i play piano.,je joue du piano.
i'm certain.,je suis certain.
dig faster.,creusez plus vite.
i know this.,je sais ça.
i'm eighteen.,j'ai dix-huit ans.
don't give up.,ne laisse pas tomber.
don't worry.,ne t'en fais pas.
be prepared.,tiens-toi prête !
i felt great.,je me suis très bien senti.
go on.,poursuivez.
tom's died.,tom est mort.
seriously?,vraiment ?
he's coming.,il arrive.
can you ski?,savez-vous faire du ski ?
it's our car.,c'est notre voiture.
look back!,regarde derrière toi !
i'm strong.,je suis forte.
drive slowly.,conduis lentement.
are you deaf?,es-tu sourd ?
we're losing.,nous sommes en train de perdre.
good for you.,c'est bien pour vous.
i'm neutral.,je suis neutre.
men are pigs.,les hommes sont des cochons.
i'm fat.,je suis gros.
i wonder why.,je me demande pourquoi.
we're angry.,nous sommes en colère.
she is lucky.,elle est chanceuse.
be confident.,sois confiant !
tom is lying.,tom ment.
we like him.,nous l'apprécions.
wait for tom.,attendez tom.
he lost face.,il a perdu la face.
i like r & b.,j'aime le r&b.
ain't he cute?,n'est-il pas mignon ?
are we broke?,sommes-nous fauchées ?
i said stop.,j'ai dit stop.
did tom fight?,tom s'est-il battu ?
just relax.,détends-toi.
war is evil.,la guerre est mauvaise.
she's hot.,elle est très attirante.
just say no.,dis simplement non !
it's poison.,c'est du poison.
i'll get it.,j'irai le chercher.
i'm not done.,je n'en ai pas terminé.
do it again!,refaites-le !
i listened.,j'ai écouté.
i was naive.,je fus crédule.
just do it.,"faites-le, tout simplement !"
he was brave.,il était courageux.
bring a date.,amène une copine !
are you happy?,êtes-vous content ?
go away.,disparais !
get back here.,reviens ici !
i feel faint.,je sens que je vais m'évanouir.
really?,vraiment ?
i'm wealthy.,je suis riche.
i must run.,il me faut courir.
i loved that.,j'adorais ça.
we love them.,nous les aimons.
i am so sick.,c'est moi qui suis tellement malade.
i am fine.,je vais bien.
don't leave!,ne quittez pas !
i'm chubby.,je suis grassouillette.
we'll work.,nous travaillerons.
i went twice.,j'y suis allée deux fois.
i stood.,je me suis tenue debout.
we'll try.,nous essayerons.
bring him in.,fais-le entrer.
help me out.,aide-moi à sortir.
we must run.,il nous faut courir.
you're nuts!,vous êtes dingues !
just do it.,fais-le donc !
did you vote?,avez-vous voté ?
i was sleepy.,j'avais envie de dormir.
i'm a child.,je suis un enfant.
i'm in love.,je suis amoureux.
i like milk.,j'aime le lait.
i'll go.,j'irai.
are you young?,êtes-vous jeune ?
she walks.,elle marche.
i felt safe.,je me suis senti en sécurité.
let me see.,laissez-moi voir.
don't hurt me.,ne me fais pas de mal !
make a guess.,hasarde une hypothèse !
i can fix it.,je peux le réparer.
he needs it.,il en a besoin.
i'll jump in.,je m'y joindrai.
tom forgot.,tom a oublié.
are you mad?,es-tu folle ?
be punctual.,sois ponctuel !
cheers!,à votre santé !
take a seat.,prends place !
i called you.,je t'ai appelé.
see you.,à plus.
don't shoot.,ne tirez pas !
who came?,qui est venu ?
this works.,ça fonctionne.
need i go on?,ai-je besoin de continuer ?
no way!,en aucun cas.
i will shoot.,je tirerai.
we'll cook.,nous ferons la cuisine.
tom cursed.,tom jura.
he is kind.,il est gentil.
we want it.,nous le voulons.
tom is awful.,tom est horrible.
i apologize.,je vous prie de m'excuser.
clean that up.,nettoyez ça.
we must go.,nous devons nous en aller.
i didn't go.,je n'y suis pas allée.
let's hurry.,dépêchons-nous.
got it?,pigé ?
they're dead.,ils sont décédés.
she shot him.,elle lui tira dessus.
be watchful.,soyez prudente !
get out.,casse-toi.
i just moved.,je viens juste de bouger.
he denied it.,il l'a refusé.
it's quiet.,c'est calme.
perfect!,parfait !
come off it!,change de disque !
we're broke.,nous sommes fauchés.
i feel alive.,je me sens vivant.
he is a poet.,c'est un poète.
i don't date.,je ne sors pas avec des garçons.
we lost.,nous avons été défaites.
eat something.,mangez quelque chose !
a car cut in.,une voiture a coupé la route.
is it yours?,est-ce le tien ?
who are they?,qui sont-ils ?
please relax.,"s'il te plaît, calme-toi."
what was it?,de quoi s'agissait-il ?
they swam.,ils nagèrent.
use this.,employez ceci !
let me leave!,laisse-moi partir !
it's snowing.,il neige.
go away.,allez-vous en !
check this.,vérifie ça.
do it at once.,faites-le immédiatement.
let me go!,laisse-moi m'en aller !
no one moved.,personne ne bougea.
come up here.,approchez.
break it down.,démonte-moi ça.
i have a job.,je dispose d'un boulot.
they lost.,elles ont perdu.
i went twice.,j'y suis allé deux fois.
sit down.,assieds-toi.
give me a sec.,donne-moi une seconde.
you are good.,tu es bon.
i'm unlucky.,j'ai la schcoumoune.
do it right.,faites-le comme il faut !
hug me.,serre-moi dans tes bras !
don't be long.,ne sois pas long.
we all work.,nous travaillons toutes.
ask anyone.,demandez à n'importe qui.
it's here.,c'est ici.
wonderful!,magnifique !
i'm not tall.,je ne suis pas grande.
that's his.,ce sont les siens.
no kidding?,sans blague ?
don't move.,ne bouge pas.
wait here.,attends là.
try to sleep.,essaie de dormir.
who'll go?,qui ira ?
wait for us.,attends-nous !
i stink.,je pue.
wake up!,réveille-toi !
i envy you.,je vous envie.
here it is.,tenez.
you're stuck.,t'es plantée.
don't sass me.,ne sois pas impertinent à mon égard.
dry your eyes.,sèche tes larmes.
here we are.,nous y voilà !
we might die.,il se pourrait que nous mourions.
what a dump.,quel taudis !
what a loser!,quel naze !
i'm prepared.,je suis prêt.
i'm rational.,je suis rationnel.
"fish, please.",du poisson s'il vous plaît.
so long.,à plus tard !
i hate it.,je déteste ça.
i'm positive.,j'en suis sûre.
stay with me.,restez avec moi.
stay inside.,reste à l'intérieur !
get your gear.,va chercher ton matériel !
don't get up.,ne vous levez pas.
be merciful.,sois miséricordieux !
i went twice.,je m'y suis rendu à deux reprises.
i felt happy.,je me suis sentie heureuse.
i like you.,je t'aime.
i like beer.,j'aime la bière.
be yourself.,sois toi-même.
we're lost.,nous sommes perdues.
drop it!,laissez-le tomber !
i'm fearless.,je suis intrépide.
let him in.,laissez-le entrer.
anyone hurt?,quiconque est-il blessé ?
i'm cured.,je suis guéri.
this stinks.,ça pue.
i hate you.,je te hais.
life goes on.,la vie continue.
i'm chicken.,j'ai les foies.
they got it.,ils l'ont eue.
don't smile.,ne souris pas.
men are pigs.,les hommes sont des égoïstes.
i'm a man.,je suis un homme.
you're fired.,tu es viré.
i handled it.,je m'en suis sortie.
i saw you.,je vous ai vu.
we got ready.,nous nous sommes apprêtées.
check that.,regarde ça.
i cut myself.,je me suis coupé.
hurry home.,dépêchez-vous d'aller chez vous !
it's easy.,c'est simple.
we have hope.,nous avons de l'espoir.
i'm healthy.,je suis en bonne santé.
i'm dieting.,je suis au régime.
take a walk.,va marcher !
can you come?,peux-tu venir ?
that's a lot!,c'est beaucoup !
are you ready?,es-tu prêt ?
i'm a lawyer.,je suis avocate.
now leave us.,maintenant laissez nous.
are you sure?,êtes-vous sûres ?
ghosts exist.,les fantômes existent.
we saw you.,nous vous avons vue.
let's talk.,discutons !
go outside.,sors.
you're drunk.,vous êtes saoules.
is this fake?,est-ce un pastiche ?
i was late.,j'ai été en retard.
we needed it.,nous en avions besoin.
is it hard?,est-ce difficile ?
you may swim.,tu as la permission de nager.
he let us go.,il nous a laissées nous en aller.
go away.,va te faire foutre !
our eyes met.,nos yeux se sont croisés.
let him in.,faites-le entrer.
go have fun.,"vas-y, amuse-toi."
i want soup.,je veux de la soupe.
are you up?,es-tu levé ?
are you ready?,êtes-vous prêt ?
be sensible.,soyez raisonnable !
i'm hungry!,j'ai faim !
they're weak.,ils sont faibles.
be punctual.,soyez ponctuels !
i didn't go.,je ne m'y suis pas rendue.
let me know.,fais-le moi savoir !
i made these.,j'ai fait celles-ci.
of course.,pour sûr.
you're kind.,tu es gentil.
how are you?,comment ça va ?
you're wise.,vous êtes raisonnables.
i burned it.,je l'ai brûlé.
he was wrong.,il eut tort.
we'll walk.,nous marcherons.
should we go?,devrions-nous y aller ?
he's a hunk.,c'est un beau mec.
i'm careful.,je suis prudent.
i have one.,j'en ai un.
find a job.,trouve un boulot !
i sighed.,j’ai soupiré.
is it ready?,est-ce prêt ?
i'm starving.,j'ai la fringale.
go warm up.,allez vous échauffer !
i'm unhappy.,je suis mécontent.
i'm wet.,je suis mouillé.
ask anybody.,demande à qui que ce soit !
dogs bark.,les chiens aboient.
are you sure?,êtes-vous sûres ?
tom shrugged.,tom haussa les épaules.
stand back!,reculez !
i'm buying.,c'est moi qui paie.
as you like.,comme vous voulez.
take a seat.,asseyez-vous !
let's go!,allons-y !
i'm a surfer.,je suis surfeuse.
look at that!,regarde ça !
are you up?,es-tu debout ?
he was naive.,il était naïf.
be fair.,sois équitable !
we're hot.,nous avons chaud.
we saw it.,nous l'avons vue.
i want mine.,je veux la mienne.
that's ugly.,c'est laid.
come in.,entre !
take a rest.,reposez-vous.
will you go?,irez-vous ?
no way!,impossible !
tom rocks.,tom assure.
you're safe.,vous êtes sauve.
is it you?,est-ce vous ?
tom's funny.,tom est rigolo.
you're safe.,tu es sauve.
we're a team.,nous sommes une équipe.
he broke them.,il les a cassés.
i am weak.,je suis faible.
i envy him.,je l'envie.
now leave us.,maintenant laisse-nous.
be creative.,soyez créatif !
have a cookie.,prends un biscuit !
i like bread.,j'aime le pain.
we won.,nous l'emportâmes.
i'm correct.,j'ai raison.
are you hurt?,êtes-vous blessé ?
you cheated.,vous avez triché.
is it cancer?,s'agit-il d'un cancer ?
i don't care.,je m'en fous.
i need sugar.,j'ai besoin de sucre.
he was lucky.,il a eu de la chance.
we loved you.,nous vous aimions.
i like music.,j'aime la musique.
i'm lucky.,je suis chanceux.
tom was safe.,tom était en sécurité.
let him in.,fais-le entrer.
keep looking.,continuez à regarder !
i cut myself.,je me coupai.
did i win?,l'ai-je emporté ?
you've won!,tu as gagné !
we need it.,nous en avons besoin.
we broke up.,nous avons rompu.
are you ok?,est-ce que tu vas bien ?
that's fun.,c'est marrant.
it was ok.,c'était ok.
come over.,viens chez moi !
sweet dreams!,faites de beaux rêves !
tom talked.,tom a parlé.
it's on fire.,c'est déchaîné.
is he dead?,est-il décédé ?
let's try it.,essayons-le.
tom took it.,tom l'a pris.
cut it out.,assez !
can you ski?,sais-tu faire du ski ?
be confident.,soyez confiant !
cut that out!,arrête ça !
he has a book.,il a un livre.
you are big.,vous êtes grands.
i was asleep.,j'étais endormie.
i'm a friend.,je suis une amie.
we felt good.,nous nous sommes sentis bien.
forget it.,oublie.
is he dead?,est-il mort ?
i can do it.,j'arrive à le faire.
i'm a farmer.,je suis agriculteur.
you're safe.,vous êtes sauf.
see above.,voyez ci-dessus.
be friendly.,sois amicale !
it's obvious.,cela coule de source.
can you walk?,pouvez-vous marcher ?
bottoms up!,santé !
come over!,venez !
that's lame.,c'est faible.
i see a lion.,je vois un lion.
god bless you!,que dieu te bénisse !
it'll work.,ça fonctionnera.
i got sleepy.,j'ai commencé à avoir sommeil.
i'm wet.,je suis mouillée.
we're lazy.,nous sommes fainéantes.
no means no.,"« non », ça veut dire « non »."
"come in, tom.","entre, tom."
you're weak.,vous êtes faible.
don't leave.,ne partez pas !
years passed.,des années ont passé.
i remember.,je m'en rappelle.
forgive tom.,pardonne tom.
he let us go.,il nous a laissés partir.
i'm faithful.,je suis fidèle.
are you happy?,êtes-vous contents ?
he dug a hole.,il a creusé un trou.
i asked tom.,j'ai demandé à tom.
is he right?,a-t-il raison ?
is it yours?,est-ce la vôtre ?
welcome back.,soyez de nouveau la bienvenue !
i'm sorry.,désolé.
see below.,voyez ci-dessous.
do i stink?,est-ce que je pue ?
am i right?,suis-je dans le vrai ?
i'm normal.,je suis normal.
i have money.,j'ai de l'argent.
did you win?,l'avez-vous emporté ?
you may go.,vous pouvez vous en aller.
i felt dumb.,je me suis sentie idiote.
be careful!,sois prudente !
don't kid me!,ne me charriez pas !
we're sneaky.,nous sommes sournois.
i'll manage.,je m'en sortirai.
we're sunk.,nous sommes foutus.
i love kids.,j'adore les enfants.
do i know you?,est-ce que je vous connais ?
air the futon.,aère le futon !
i shrugged.,j'ai haussé les épaules.
this is his.,c'est le sien.
we broke up.,nous nous sommes séparés.
lie still.,"reste allongée, immobile !"
was it good?,était-ce bon ?
is that so?,en va-t-il ainsi ?
i hate liars.,je déteste les menteurs.
look at me.,regarde-moi.
tom is drunk.,tom est saoul.
talk to me.,parle avec moi.
tom died.,tom muera.
"hello, girls.",salut les filles !
get ready.,prépare-toi.
this is gold.,c'est de l'or.
it's ready.,c'est prêt.
i got fined.,j'ai été verbalisé.
take a bite.,croquez !
we need both.,nous avons besoin des deux.
they said no.,ils ont dit non.
get down.,lâche-toi !
you fainted.,vous vous êtes évanoui.
what is love?,qu'est l'amour ?
come back.,revenez !
go ahead.,vas-y !
i'm in paris.,je suis à paris.
are they new?,sont-elles nouvelles ?
i'm angry.,je suis en colère.
may i go?,puis-je m'y rendre ?
be content.,sois satisfaite !
is tom drunk?,tom est-il ivre ?
well done!,bien joué !
tom's safe.,tom est en sécurité.
feel this.,sentez ça !
i was warned.,j'ai été prévenu.
i need more.,il m'en faut davantage.
please smile.,veuillez sourire !
is it clear?,est-ce clair ?
he found it.,il le trouva.
is he busy?,est-il occupé ?
be careful.,soyez prudents !
how horrible!,quelle horreur !
try again.,essayez de nouveau.
i'm off-duty.,je ne suis pas en service.
he's wet.,il est mouillé.
i won!,je l'ai emporté !
this is huge.,c'est énorme.
you're sad.,tu es triste.
it's time.,il est temps !
hop in.,montez.
be careful.,sois prudent !
i like these.,j'aime celles-ci.
he likes tea.,il aime le thé.
don't be rude.,ne soyez pas impolie !
i can't wait.,je suis impatiente.
it scared me.,ça m'a fait peur.
i need it.,j'en ai besoin.
i feel giddy.,je suis prise de vertiges.
tom was shot.,tom s'est fait tirer dessus.
we need help.,nous avons besoin d'aide.
everyone wins.,tout le monde y gagne.
you're stuck.,vous êtes planté.
i'm the boss.,c'est moi le patron.
go away.,pars d'ici.
should i go?,devrais-je y aller ?
tom's fat.,tom est gros.
give him time.,donne-lui du temps.
look out!,attention !
i love jokes.,j'adore les blagues.
dogs can swim.,les chiens savent nager.
be discreet.,sois discret !
tom's coming.,tom vient.
are you sure?,êtes-vous sûrs ?
don't worry.,ne vous inquiétez pas.
come join us.,viens nous rejoindre !
